title,ingredients,ingredient_measurements,instructions,diet_type,difficulty,cooking_time
puttu,"rice flour,coconut,salt,water","[{""ingredient"":""rice flour"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Heat 1 cup water in a pan on medium flame for 3 minutes until warm but not boiling. Add 1 tsp salt and slowly sprinkle the warm water over 2 cup rice flour in a large bowl while mixing with fingers for 5 minutes until the flour becomes moist and crumbly without forming dough. Step 2: Rest the moistened flour for 10 minutes at room temperature so the moisture spreads evenly. Step 3: Fill the bottom chamber of a puttu steamer with 2 cup water and heat on high flame for 5 minutes until steam starts forming. Step 4: Add 2 tbsp coconut into the puttu maker tube, then add 1 cup prepared flour, followed by 2 tbsp coconut, then remaining flour and remaining coconut in layers. Step 5: Steam the puttu on medium flame for 8 minutes until strong steam releases from the top and the puttu smells cooked. Step 6: Remove the tube carefully, rest for 2 minutes, then push the puttu gently onto a plate and serve hot.",veg,easy,25
appam,"rice,coconut,sugar,yeast,salt,water","[{""ingredient"":""rice"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""sugar"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""yeast"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 2 cup raw rice in water 3 times and soak it in 4 cup water for 4 hours at room temperature. Step 2: Drain the soaked rice and grind it in a mixer with 1 cup cooked rice, 1 cup coconut, 2 tsp sugar, and 2 cup water on medium speed for 8 minutes until a smooth batter forms. Step 3: Dissolve 1 tsp yeast in 1/4 cup lukewarm water and rest for 10 minutes until frothy. Step 4: Add the yeast mixture and 1 tsp salt into the batter and mix for 2 minutes using a spoon until evenly combined. Step 5: Cover the batter and ferment for 8 hours at room temperature until the batter becomes airy and slightly risen. Step 6: Heat an appam pan on medium flame for 2 minutes until hot. Pour 1 ladle batter into the center, rotate the pan immediately to spread thin edges, cover with lid, and cook on low flame for 3 minutes until edges turn light golden and the center becomes soft and cooked. Step 7: Remove the appam gently using a spatula and repeat with remaining batter.",veg,medium,40
kadala curry,"black chickpeas,onion,tomato,green chilli,ginger,garlic,curry leaves,coconut oil,mustard seeds,chilli powder,coriander powder,turmeric powder,garam masala,salt,water","[{""ingredient"":""black chickpeas"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""2 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""mustard seeds"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coriander powder"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garam masala"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""5 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 2 cup black chickpeas thoroughly and soak in 6 cup water for 8 hours at room temperature. Step 2: Drain the soaked chickpeas and add them into a pressure cooker with 4 cup water and 1 tsp salt. Pressure cook on high flame for 1 whistle, then on low flame for 25 minutes until the chickpeas become soft. Step 3: Heat 3 tbsp coconut oil in a deep pan on medium flame for 2 minutes. Add 1 tsp mustard seeds and cook for 30 seconds until they crackle. Step 4: Add 1 cup onion, 2 green chilli, 1 tbsp ginger, 1 tbsp garlic, and 2 tbsp curry leaves. Saute on medium flame for 8 minutes until onions become golden brown. Step 5: Add 1 cup tomato and cook on medium flame for 5 minutes until tomatoes soften and oil starts separating. Step 6: Add 2 tsp chilli powder, 2 tbsp coriander powder, 1 tsp turmeric powder, and 1 tsp garam masala. Roast on low flame for 2 minutes until raw spice smell disappears. Step 7: Add the cooked chickpeas along with the cooking liquid and simmer on medium flame for 10 minutes until the curry thickens slightly. Step 8: Taste and adjust with remaining 1 tsp salt, then cook for 2 more minutes before serving hot.",veg,medium,50
fish curry,"seer fish,kudampuli,onion,tomato,green chilli,ginger,garlic,curry leaves,coconut oil,chilli powder,coriander powder,turmeric powder,fenugreek seeds,salt,water","[{""ingredient"":""seer fish"",""measurement"":""500 g"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""kudampuli"",""measurement"":""3 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""2 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coriander powder"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""fenugreek seeds"",""measurement"":""1/2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 500 g seer fish pieces in water 2 times and drain completely. Soak 3 number kudampuli in 1/2 cup warm water for 10 minutes until soft. Step 2: Heat 3 tbsp coconut oil in a clay pot on medium flame for 2 minutes. Add 1/2 tsp fenugreek seeds and cook for 30 seconds until aromatic. Step 3: Add 1 cup onion, 2 green chilli, 1 tbsp ginger, 1 tbsp garlic, and 2 tbsp curry leaves. Saute on medium flame for 6 minutes until onions become soft and light golden. Step 4: Add 1 cup tomato and cook on medium flame for 4 minutes until tomatoes break down completely. Step 5: Reduce flame to low and add 2 tbsp chilli powder, 1 tbsp coriander powder, and 1 tsp turmeric powder. Roast for 2 minutes while stirring continuously until oil starts separating. Step 6: Add soaked kudampuli with soaking water, 2.5 cup water, and 2 tsp salt. Bring the curry to a boil on high flame for 5 minutes. Step 7: Add 500 g seer fish pieces gently into the curry and cook on low flame for 12 minutes without stirring hard until fish becomes tender and oil floats on top. Step 8: Rest the curry for 15 minutes before serving so the flavors deepen.",non_veg,medium,45
egg roast,"egg,onion,tomato,green chilli,ginger,garlic,curry leaves,coconut oil,chilli powder,coriander powder,turmeric powder,garam masala,salt","[{""ingredient"":""egg"",""measurement"":""4 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""2 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coriander powder"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1/2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garam masala"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Place 4 eggs in a saucepan with 2 cup water and boil on medium flame for 12 minutes until fully cooked. Cool for 5 minutes, peel the shells, and make small cuts on the eggs using a knife. Step 2: Heat 3 tbsp coconut oil in a pan on medium flame for 2 minutes. Add 2 cup onion, 2 green chilli, 1 tbsp ginger, 1 tbsp garlic, and 2 tbsp curry leaves. Saute for 10 minutes until onions become deep golden brown. Step 3: Add 1 cup tomato and cook on medium flame for 5 minutes until soft and oil separates. Step 4: Reduce flame to low and add 2 tsp chilli powder, 1 tbsp coriander powder, 1/2 tsp turmeric powder, 1 tsp garam masala, and 2 tsp salt. Roast for 2 minutes until raw smell disappears. Step 5: Add 1/4 cup water and cook on low flame for 3 minutes until masala thickens. Step 6: Add the boiled eggs and coat them gently with the masala for 3 minutes on low flame until the eggs absorb the flavors. Step 7: Rest for 2 minutes before serving hot.",non_veg,easy,35
vegetable stew,"potato,carrot,beans,onion,green chilli,ginger,curry leaves,coconut milk,coconut oil,black pepper,salt,water","[{""ingredient"":""potato"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""carrot"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""beans"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""2 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut milk"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash and peel 1 cup potato and 1 cup carrot,then cut them into small cubes.Wash 1 cup beans and cut into small pieces.Step 2: Heat 2 tbsp coconut oil in a deep pan on medium flame for 2 minutes.Add 1 cup onion,2 green chilli,1 tbsp ginger,and 1 tbsp curry leaves.Saute for 4 minutes until onions become soft without browning.Step 3: Add potato,carrot,and beans along with 2 cup water and 2 tsp salt.Cover and cook on medium flame for 15 minutes until vegetables become soft but not mushy.Step 4: Add 1 tsp black pepper and 2 cup coconut milk.Simmer on low flame for 5 minutes without boiling heavily to prevent splitting.Step 5: Add remaining 1 cup coconut milk and cook on very low flame for 2 minutes until the stew becomes creamy and aromatic.Step 6: Remove from heat and rest for 3 minutes before serving hot.",veg,easy,30
malabar chicken biryani,"jeerakasala rice,chicken,onion,tomato,green chilli,ginger,garlic,yogurt,mint leaves,coriander leaves,ghee,coconut oil,chilli powder,turmeric powder,garam masala,salt,water","[{""ingredient"":""jeerakasala rice"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chicken"",""measurement"":""1 kg"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""4 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""yogurt"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""mint leaves"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coriander leaves"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ghee"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garam masala"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""3 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""5 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 1 kg chicken thoroughly and drain completely.Marinate the chicken with 1 cup yogurt,2 tsp chilli powder,1 tsp turmeric powder,and 1 tsp salt for 30 minutes in a covered bowl inside a cool place.Step 2: Wash 3 cup jeerakasala rice gently 2 times and soak in 4 cup water for 20 minutes,then drain fully.Step 3: Heat 3 tbsp coconut oil and 2 tbsp ghee in a heavy pot on medium flame for 2 minutes.Add 2 cup onion and saute for 12 minutes until deep golden brown.Step 4: Add 4 green chilli,2 tbsp ginger,2 tbsp garlic,and cook on medium flame for 3 minutes until aromatic.Step 5: Add 2 cup tomato and cook for 6 minutes until soft and oil separates.Step 6: Add the marinated chicken and cook on medium flame for 15 minutes until chicken releases moisture and becomes half cooked.Step 7: Add 1 cup mint leaves,1 cup coriander leaves,1 tsp garam masala,and simmer on low flame for 5 minutes until gravy thickens.Step 8: In another pot heat 2 tbsp ghee on medium flame for 1 minute,add drained rice,and roast for 2 minutes until aromatic.Add 5 cup hot water and remaining 2 tsp salt,then cook on medium flame for 8 minutes until rice is 90 percent cooked.Step 9: Layer the cooked chicken masala and rice in a heavy pot,cover tightly,and cook on very low flame for 20 minutes until steam builds and rice becomes fully cooked.Step 10: Rest the biryani for 10 minutes before gently mixing and serving.",non_veg,hard,90
beef ularthiyathu,"beef,onion,green chilli,ginger,garlic,curry leaves,coconut slices,coconut oil,chilli powder,coriander powder,turmeric powder,black pepper,garam masala,salt,water","[{""ingredient"":""beef"",""measurement"":""1 kg"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""3 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut slices"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coriander powder"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garam masala"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""3 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 1 kg beef thoroughly in water 3 times and drain completely.Step 2: Add beef into a pressure cooker with 1 tbsp ginger,1 tbsp garlic,1 tbsp chilli powder,1 tbsp coriander powder,1/2 tsp turmeric powder,1 tsp salt,and 2 cup water.Pressure cook on high flame for 1 whistle and then on low flame for 30 minutes until beef becomes tender.Step 3: Heat 4 tbsp coconut oil in a heavy pan on medium flame for 2 minutes.Add 1 cup coconut slices and fry for 4 minutes until light golden.Step 4: Add 2 cup onion,3 green chilli,remaining ginger,remaining garlic,and 2 tbsp curry leaves.Saute on medium flame for 10 minutes until onions become brown.Step 5: Add remaining chilli powder,coriander powder,turmeric powder,black pepper,garam masala,and remaining 2 tsp salt.Roast on low flame for 2 minutes until aromatic.Step 6: Add the cooked beef along with 1/2 cup cooking liquid and cook uncovered on medium flame for 15 minutes while stirring every 2 minutes until the masala coats the beef and turns dark brown.Step 7: Add remaining curry leaves and roast on low flame for 3 minutes until oil separates clearly.",non_veg,medium,70
vegetable fried rice,"basmati rice,carrot,beans,cabbage,spring onion,garlic,soy sauce,black pepper,oil,salt,water","[{""ingredient"":""basmati rice"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""carrot"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""beans"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cabbage"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""spring onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""soy sauce"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""oil"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""5 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 2 cup basmati rice in water 3 times until water runs mostly clear.Step 2: Boil 5 cup water in a large pot on high flame for 5 minutes.Add 1 tsp salt and the rice,then cook on medium flame for 8 minutes until rice is just cooked and separate.Drain the rice and cool for 15 minutes on a plate.Step 3: Heat 3 tbsp oil in a wok on high flame for 2 minutes until hot.Add 1 tbsp garlic and stir fry for 30 seconds until aromatic.Step 4: Add 1 cup carrot,1 cup beans,and 1 cup cabbage.Stir fry on high flame for 5 minutes until vegetables become slightly soft but still crunchy.Step 5: Add the cooled rice,2 tbsp soy sauce,1 tsp black pepper,and remaining 1 tsp salt.Toss continuously on high flame for 4 minutes until rice is evenly coated and heated fully.Step 6: Add 1 cup spring onion and stir fry for 1 minute until fresh aroma develops.Step 7: Serve immediately while hot.",veg,easy,30
palada payasam,"rice ada,milk,sugar,ghee,cardamom powder,water","[{""ingredient"":""rice ada"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""milk"",""measurement"":""2 liter"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""sugar"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ghee"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cardamom powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""4 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]",Step 1: Wash 1 cup rice ada in water 2 times and soak in 2 cup water for 15 minutes until slightly soft.Drain completely.Step 2: Heat 2 tbsp ghee in a heavy-bottomed pot on low flame for 1 minute.Add the drained rice ada and roast gently for 3 minutes until glossy.Step 3: Add 2 liter milk and cook on medium flame for 20 minutes while stirring every 2 minutes to prevent burning.Step 4: Add 2 cup sugar and continue cooking on low flame for 15 minutes until the payasam thickens slightly and turns light cream in color.Step 5: Add 1 tsp cardamom powder and cook on low flame for 2 minutes until aromatic.Step 6: Remove from heat and rest for 10 minutes before serving warm or chilled.,veg,medium,50
